seed,events_per_lot,circuit,prove_ms,verify_ms,proof_bytes,peak_rss_mb,status,note,circuit_version,build_ms,witness_ms,setup_ms,gate_count,public_inputs,inner_prove_ms
3,32,c2_poseidon2_merkle_depth16,12.894708,17.850458,275739,9.578125,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.000125,205.099875,0.00175,0,1,0.0
3,32,c3_threshold_time,11.563666999999999,2.4107920000000003,16060,9.578125,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.0,0.006583,0.00175,0,2,0.0
3,32,c4_poseidon2_actor_authorization,1.23,1.102458,11735,9.609375,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.000042,0.009082999999999999,0.00175,0,3,0.0
3,32,c5_poseidon2_nullifier_empty_leaf,14.486125000000001,29.640333000000002,275797,9.796875,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.000042,223.215625,0.00175,0,2,0.0
1,64,c2_poseidon2_merkle_depth16,11.388499999999999,28.0365,275936,9.8125,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.000042,241.75650000000002,0.008749999999999999,0,1,0.0
1,64,c3_threshold_time,8.179084,0.7955,19012,9.859375,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.0,0.0035,0.008749999999999999,0,2,0.0
1,64,c4_poseidon2_actor_authorization,0.432834,0.447125,11674,9.875,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.000042,0.003791,0.008749999999999999,0,3,0.0
1,64,c5_poseidon2_nullifier_empty_leaf,24.73075,10.877875,275909,9.875,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.0,381.35,0.008749999999999999,0,2,0.0
2,64,c2_poseidon2_merkle_depth16,11.77925,27.651833,275322,9.890625,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.000042,282.687584,0.008749999999999999,0,1,0.0
2,64,c3_threshold_time,8.163834,0.797292,19046,9.90625,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.0,0.003583,0.008749999999999999,0,2,0.0
2,64,c4_poseidon2_actor_authorization,0.421917,0.44620899999999997,11724,9.90625,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.000042,0.003875,0.008749999999999999,0,3,0.0
2,64,c5_poseidon2_nullifier_empty_leaf,32.887458,10.8355,276261,9.90625,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.0,216.696583,0.008749999999999999,0,2,0.0
3,64,c2_poseidon2_merkle_depth16,11.013333,25.548667000000002,275573,9.90625,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.000042,253.11662499999997,0.008749999999999999,0,1,0.0
3,64,c3_threshold_time,8.156459,0.79325,18978,9.90625,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.0,0.0035,0.008749999999999999,0,2,0.0
3,64,c4_poseidon2_actor_authorization,0.423083,0.445791,11733,9.90625,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.000042,0.003916,0.008749999999999999,0,3,0.0
3,64,c5_poseidon2_nullifier_empty_leaf,10.829625,23.803874999999998,276060,9.921875,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.0,256.72616700000003,0.008749999999999999,0,2,0.0
