phase,cell_id,run_id,np,shipment,epoch_s,seed,seed_index,seeds_per_cell,lambda_events_per_min,offered_load_epm,epochs_target
screening,screening-np250-sh128-ep60,screening-np250-sh128-ep60#s3697758006,250,128,60,3697758006,0,1,3.84,960.0,4
screening,screening-np250-sh128-ep120,screening-np250-sh128-ep120#s4137041237,250,128,120,4137041237,0,1,3.84,960.0,4
screening,screening-np250-sh128-ep300,screening-np250-sh128-ep300#s2336423816,250,128,300,2336423816,0,1,3.84,960.0,4
screening,screening-np500-sh16-ep30,screening-np500-sh16-ep30#s4133438051,500,16,30,4133438051,0,1,3.84,1920.0,4
screening,screening-np500-sh16-ep60,screening-np500-sh16-ep60#s4017755875,500,16,60,4017755875,0,1,3.84,1920.0,4
screening,screening-np500-sh16-ep120,screening-np500-sh16-ep120#s929421643,500,16,120,929421643,0,1,3.84,1920.0,4
screening,screening-np500-sh16-ep300,screening-np500-sh16-ep300#s3338131914,500,16,300,3338131914,0,1,3.84,1920.0,4
screening,screening-np500-sh32-ep30,screening-np500-sh32-ep30#s2400845041,500,32,30,2400845041,0,1,3.84,1920.0,4
screening,screening-np500-sh32-ep60,screening-np500-sh32-ep60#s2784702370,500,32,60,2784702370,0,1,3.84,1920.0,4
screening,screening-np500-sh32-ep120,screening-np500-sh32-ep120#s3723759,500,32,120,3723759,0,1,3.84,1920.0,4
screening,screening-np500-sh32-ep300,screening-np500-sh32-ep300#s3966868553,500,32,300,3966868553,0,1,3.84,1920.0,4
screening,screening-np500-sh64-ep30,screening-np500-sh64-ep30#s4169507304,500,64,30,4169507304,0,1,3.84,1920.0,4
screening,screening-np500-sh64-ep60,screening-np500-sh64-ep60#s2803196518,500,64,60,2803196518,0,1,3.84,1920.0,4
screening,screening-np500-sh64-ep120,screening-np500-sh64-ep120#s3152199012,500,64,120,3152199012,0,1,3.84,1920.0,4
screening,screening-np500-sh64-ep300,screening-np500-sh64-ep300#s2170355584,500,64,300,2170355584,0,1,3.84,1920.0,4
screening,screening-np500-sh128-ep30,screening-np500-sh128-ep30#s2568054418,500,128,30,2568054418,0,1,3.84,1920.0,4
screening,screening-np500-sh128-ep60,screening-np500-sh128-ep60#s2797381633,500,128,60,2797381633,0,1,3.84,1920.0,4
screening,screening-np500-sh128-ep120,screening-np500-sh128-ep120#s2646340336,500,128,120,2646340336,0,1,3.84,1920.0,4
screening,screening-np500-sh128-ep300,screening-np500-sh128-ep300#s3827474735,500,128,300,3827474735,0,1,3.84,1920.0,4
screening,screening-np1000-sh16-ep30,screening-np1000-sh16-ep30#s318675181,1000,16,30,318675181,0,1,3.84,3840.0,4
screening,screening-np1000-sh16-ep60,screening-np1000-sh16-ep60#s2218398167,1000,16,60,2218398167,0,1,3.84,3840.0,4
screening,screening-np1000-sh16-ep120,screening-np1000-sh16-ep120#s3674134399,1000,16,120,3674134399,0,1,3.84,3840.0,4
screening,screening-np1000-sh16-ep300,screening-np1000-sh16-ep300#s4042496712,1000,16,300,4042496712,0,1,3.84,3840.0,4
screening,screening-np1000-sh32-ep30,screening-np1000-sh32-ep30#s1855066964,1000,32,30,1855066964,0,1,3.84,3840.0,4
screening,screening-np1000-sh32-ep60,screening-np1000-sh32-ep60#s3521079933,1000,32,60,3521079933,0,1,3.84,3840.0,4
screening,screening-np1000-sh32-ep120,screening-np1000-sh32-ep120#s3573536959,1000,32,120,3573536959,0,1,3.84,3840.0,4
screening,screening-np1000-sh32-ep300,screening-np1000-sh32-ep300#s161677594,1000,32,300,161677594,0,1,3.84,3840.0,4
screening,screening-np1000-sh64-ep30,screening-np1000-sh64-ep30#s1628520357,1000,64,30,1628520357,0,1,3.84,3840.0,4
screening,screening-np1000-sh64-ep60,screening-np1000-sh64-ep60#s465680289,1000,64,60,465680289,0,1,3.84,3840.0,4
screening,screening-np1000-sh64-ep120,screening-np1000-sh64-ep120#s3536419875,1000,64,120,3536419875,0,1,3.84,3840.0,4
screening,screening-np1000-sh64-ep300,screening-np1000-sh64-ep300#s2394132765,1000,64,300,2394132765,0,1,3.84,3840.0,4
screening,screening-np1000-sh128-ep30,screening-np1000-sh128-ep30#s4089836405,1000,128,30,4089836405,0,1,3.84,3840.0,4
screening,screening-np1000-sh128-ep60,screening-np1000-sh128-ep60#s3958231960,1000,128,60,3958231960,0,1,3.84,3840.0,4
screening,screening-np1000-sh128-ep120,screening-np1000-sh128-ep120#s534371862,1000,128,120,534371862,0,1,3.84,3840.0,4
screening,screening-np1000-sh128-ep300,screening-np1000-sh128-ep300#s2877104227,1000,128,300,2877104227,0,1,3.84,3840.0,4
screening,screening-np2000-sh16-ep30,screening-np2000-sh16-ep30#s3041424106,2000,16,30,3041424106,0,1,3.84,7680.0,4
screening,screening-np2000-sh16-ep60,screening-np2000-sh16-ep60#s448467613,2000,16,60,448467613,0,1,3.84,7680.0,4
screening,screening-np2000-sh16-ep120,screening-np2000-sh16-ep120#s3184729290,2000,16,120,3184729290,0,1,3.84,7680.0,4
screening,screening-np2000-sh16-ep300,screening-np2000-sh16-ep300#s3672695644,2000,16,300,3672695644,0,1,3.84,7680.0,4
screening,screening-np2000-sh32-ep30,screening-np2000-sh32-ep30#s1358078116,2000,32,30,1358078116,0,1,3.84,7680.0,4
screening,screening-np2000-sh32-ep60,screening-np2000-sh32-ep60#s926682307,2000,32,60,926682307,0,1,3.84,7680.0,4
screening,screening-np2000-sh32-ep120,screening-np2000-sh32-ep120#s811324364,2000,32,120,811324364,0,1,3.84,7680.0,4
screening,screening-np2000-sh32-ep300,screening-np2000-sh32-ep300#s3993766293,2000,32,300,3993766293,0,1,3.84,7680.0,4
screening,screening-np2000-sh64-ep30,screening-np2000-sh64-ep30#s2384598732,2000,64,30,2384598732,0,1,3.84,7680.0,4
screening,screening-np2000-sh64-ep60,screening-np2000-sh64-ep60#s689217120,2000,64,60,689217120,0,1,3.84,7680.0,4
screening,screening-np2000-sh64-ep120,screening-np2000-sh64-ep120#s777472263,2000,64,120,777472263,0,1,3.84,7680.0,4
screening,screening-np2000-sh64-ep300,screening-np2000-sh64-ep300#s259842651,2000,64,300,259842651,0,1,3.84,7680.0,4
screening,screening-np2000-sh128-ep30,screening-np2000-sh128-ep30#s4252492336,2000,128,30,4252492336,0,1,3.84,7680.0,4
screening,screening-np2000-sh128-ep60,screening-np2000-sh128-ep60#s1986202838,2000,128,60,1986202838,0,1,3.84,7680.0,4
screening,screening-np2000-sh128-ep120,screening-np2000-sh128-ep120#s2065044414,2000,128,120,2065044414,0,1,3.84,7680.0,4
screening,screening-np2000-sh128-ep300,screening-np2000-sh128-ep300#s604202203,2000,128,300,604202203,0,1,3.84,7680.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s528301879,125,16,30,528301879,0,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s1618607642,125,16,30,1618607642,1,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s3797329007,125,16,30,3797329007,2,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s1309469296,125,16,30,1309469296,3,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s3547789075,125,16,30,3547789075,4,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s3351136857,125,16,30,3351136857,5,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s4235984765,125,16,30,4235984765,6,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s3866786627,125,16,30,3866786627,7,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s905151580,125,16,30,905151580,8,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep30,confirmation-np125-sh16-ep30#s2330981922,125,16,30,2330981922,9,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s3223069689,125,16,120,3223069689,0,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s3951907934,125,16,120,3951907934,1,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s2066530753,125,16,120,2066530753,2,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s2770755695,125,16,120,2770755695,3,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s1698323389,125,16,120,1698323389,4,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s4125899280,125,16,120,4125899280,5,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s2455419633,125,16,120,2455419633,6,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s3917038413,125,16,120,3917038413,7,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s3268643572,125,16,120,3268643572,8,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep120,confirmation-np125-sh16-ep120#s3085291120,125,16,120,3085291120,9,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s227778667,125,16,300,227778667,0,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s973931287,125,16,300,973931287,1,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s3877504241,125,16,300,3877504241,2,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s2504416206,125,16,300,2504416206,3,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s1319015398,125,16,300,1319015398,4,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s85764349,125,16,300,85764349,5,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s1593228381,125,16,300,1593228381,6,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s3355533502,125,16,300,3355533502,7,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s876706192,125,16,300,876706192,8,10,3.84,480.0,4
confirmation,confirmation-np125-sh16-ep300,confirmation-np125-sh16-ep300#s884395696,125,16,300,884395696,9,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s2542034987,125,64,30,2542034987,0,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s3137923185,125,64,30,3137923185,1,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s2226802479,125,64,30,2226802479,2,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s882610861,125,64,30,882610861,3,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s3917272465,125,64,30,3917272465,4,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s4055781071,125,64,30,4055781071,5,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s3950305889,125,64,30,3950305889,6,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s34691623,125,64,30,34691623,7,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s2830214352,125,64,30,2830214352,8,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep30,confirmation-np125-sh64-ep30#s514929011,125,64,30,514929011,9,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s3323982834,125,64,120,3323982834,0,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s2710482416,125,64,120,2710482416,1,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s1147831426,125,64,120,1147831426,2,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s26898710,125,64,120,26898710,3,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s2751575509,125,64,120,2751575509,4,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s1629069261,125,64,120,1629069261,5,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s1446775207,125,64,120,1446775207,6,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s856467900,125,64,120,856467900,7,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s1288808758,125,64,120,1288808758,8,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep120,confirmation-np125-sh64-ep120#s1554747409,125,64,120,1554747409,9,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s4147610667,125,64,300,4147610667,0,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s594051236,125,64,300,594051236,1,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s4122693746,125,64,300,4122693746,2,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s4270714030,125,64,300,4270714030,3,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s778262098,125,64,300,778262098,4,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s1021181761,125,64,300,1021181761,5,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s3384052836,125,64,300,3384052836,6,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s729755594,125,64,300,729755594,7,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s1028123006,125,64,300,1028123006,8,10,3.84,480.0,4
confirmation,confirmation-np125-sh64-ep300,confirmation-np125-sh64-ep300#s4149364042,125,64,300,4149364042,9,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s1947123885,125,128,30,1947123885,0,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s1278274130,125,128,30,1278274130,1,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s1069206744,125,128,30,1069206744,2,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s1391241822,125,128,30,1391241822,3,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s2589415496,125,128,30,2589415496,4,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s1289142234,125,128,30,1289142234,5,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s2799931448,125,128,30,2799931448,6,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s3412558631,125,128,30,3412558631,7,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s1508471451,125,128,30,1508471451,8,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep30,confirmation-np125-sh128-ep30#s1279189314,125,128,30,1279189314,9,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s2097267293,125,128,120,2097267293,0,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s2869569776,125,128,120,2869569776,1,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s1240495730,125,128,120,1240495730,2,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s3472361734,125,128,120,3472361734,3,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s3385522146,125,128,120,3385522146,4,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s1600764185,125,128,120,1600764185,5,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s68728137,125,128,120,68728137,6,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s1417000203,125,128,120,1417000203,7,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s2565944171,125,128,120,2565944171,8,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep120,confirmation-np125-sh128-ep120#s2428181360,125,128,120,2428181360,9,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s3740845798,125,128,300,3740845798,0,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s2110855993,125,128,300,2110855993,1,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s87953245,125,128,300,87953245,2,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s4042975690,125,128,300,4042975690,3,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s3367899449,125,128,300,3367899449,4,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s2706382767,125,128,300,2706382767,5,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s1390228612,125,128,300,1390228612,6,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s2299836590,125,128,300,2299836590,7,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s2653266259,125,128,300,2653266259,8,10,3.84,480.0,4
confirmation,confirmation-np125-sh128-ep300,confirmation-np125-sh128-ep300#s47745854,125,128,300,47745854,9,10,3.84,480.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s1944056324,500,16,30,1944056324,0,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s3184828441,500,16,30,3184828441,1,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s3732383582,500,16,30,3732383582,2,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s673806249,500,16,30,673806249,3,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s2645307825,500,16,30,2645307825,4,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s4229904758,500,16,30,4229904758,5,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s2578337197,500,16,30,2578337197,6,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s2331380076,500,16,30,2331380076,7,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s368736171,500,16,30,368736171,8,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep30,confirmation-np500-sh16-ep30#s2427253128,500,16,30,2427253128,9,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s1030745901,500,16,120,1030745901,0,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s2514272888,500,16,120,2514272888,1,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s2052151784,500,16,120,2052151784,2,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s97212900,500,16,120,97212900,3,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s4181177179,500,16,120,4181177179,4,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s1927192984,500,16,120,1927192984,5,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s3063984371,500,16,120,3063984371,6,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s4097371993,500,16,120,4097371993,7,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s3716978378,500,16,120,3716978378,8,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep120,confirmation-np500-sh16-ep120#s3772197274,500,16,120,3772197274,9,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s203401403,500,16,300,203401403,0,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s2545898215,500,16,300,2545898215,1,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s1299542865,500,16,300,1299542865,2,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s3458025673,500,16,300,3458025673,3,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s3916781564,500,16,300,3916781564,4,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s3684963338,500,16,300,3684963338,5,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s829556697,500,16,300,829556697,6,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s3303862318,500,16,300,3303862318,7,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s1112384935,500,16,300,1112384935,8,10,3.84,1920.0,4
confirmation,confirmation-np500-sh16-ep300,confirmation-np500-sh16-ep300#s1303859520,500,16,300,1303859520,9,10,3.84,1920.0,4
confirmation,confirmation-np500-sh64-ep30,confirmation-np500-sh64-ep30#s2097830995,500,64,30,2097830995,0,10,3.84,1920.0,4
confirmation,confirmation-np500-sh64-ep30,confirmation-np500-sh64-ep30#s2098228385,500,64,30,2098228385,1,10,3.84,1920.0,4
confirmation,confirmation-np500-sh64-ep30,confirmation-np500-sh64-ep30#s3351819639,500,64,30,3351819639,2,10,3.84,1920.0,4
confirmation,confirmation-np500-sh64-ep30,confirmation-np500-sh64-ep30#s2319431744,500,64,30,2319431744,3,10,3.84,1920.0,4
confirmation,confirmation-np500-sh64-ep30,confirmation-np500-sh64-ep30#s3267937468,500,64,30,3267937468,4,10,3.84,1920.0,4
confirmation,confirmation-np500-sh64-ep30,confirmation-np500-sh64-ep30#s1005335488,500,64,30,1005335488,5,10,3.84,1920.0,4
confirmation,confirmation-np500-sh64-ep30,confirmation-np500-sh64-ep30#s71719403,500,64,30,71719403,6,10,3.84,1920.0,4
confirmation,confirmation-np500-sh64-ep30,confirmation-np500-sh64-ep30#s2237724761,500,64,30,2237724761,7,10,3.84,1920.0,4
confirmation,confirmation-np500-sh64-ep30,confirmation-np500-sh64-ep30#s4108917401,500,64,30,4108917401,8,10,3.84,1920.0,4
